date,gross,turnover_cost,borrow_cost,net
2023-11-02,0.00831068287025298,4.9870900000000004e-05,8.312583333333333e-05,0.008177686136919647
2023-11-06,0.004667151954644622,4.985e-05,8.310183333333333e-05,0.004534200121311289
2023-11-07,-0.0007529545174817345,0.0,8.310183333333333e-05,-0.0008360563508150678
2023-11-08,0.003906745916286306,0.0,8.310183333333333e-05,0.003823644082952973
2023-11-09,0.0002930838051273277,0.0,8.310183333333333e-05,0.00020998197179399435
2023-11-10,0.0003826524698291885,4.984480000000001e-05,8.310183333333333e-05,0.00024970583649585514
2023-11-13,-0.003063745383668011,4.99019e-05,8.31145e-05,-0.0031967617836680113
2023-11-14,0.0010380208486724788,0.0,8.31145e-05,0.0009549063486724789
2023-11-15,0.0050068968865064805,0.0,8.31145e-05,0.00492378238650648
2023-11-16,0.0023183705555857538,0.0,8.31145e-05,0.0022352560555857536
2023-11-17,-0.0003450627769495157,4.985e-05,8.31145e-05,-0.00047802727694951574
2023-11-20,0.0018705350573738808,4.9907900000000004e-05,8.312466666666668e-05,0.0017375024907072142
2023-11-21,-0.000587047882291774,0.0,8.312466666666668e-05,-0.0006701725489584407
2023-11-22,-0.0004935403728550585,0.0,8.312466666666668e-05,-0.0005766650395217252
2023-11-24,-0.0012824387050211395,0.0,8.312466666666668e-05,-0.0013655633716878062
2023-11-27,-0.0012754054051287288,4.99019e-05,8.312466666666668e-05,-0.0014084319717953956
2023-11-28,0.0011807908181703086,4.987915e-05,8.312341666666669e-05,0.001047788251503642
2023-11-29,-0.0014525443200482584,0.0,8.312341666666669e-05,-0.001535667736714925
2023-11-30,0.0001837208659620028,0.0,8.312341666666669e-05,0.00010059744929533611
2023-12-01,-0.0021914601525767604,0.0,8.312341666666669e-05,-0.002274583569243427
2023-12-04,-0.0011881861300642792,4.9907900000000004e-05,8.312341666666669e-05,-0.0013212174467309458
2023-12-05,-0.004884524200989245,4.992840000000001e-05,8.318975000000002e-05,-0.005017642350989245
2023-12-06,-0.00432430008698639,0.0,8.318975000000002e-05,-0.00440748983698639
2023-12-07,-0.0030747621681397113,0.0,8.318975000000002e-05,-0.0031579519181397114
2023-12-08,0.0006005185569900286,0.0,8.318975000000002e-05,0.0005173288069900286
2023-12-11,-0.0007676781896971955,4.987915e-05,8.318975000000002e-05,-0.0009007470896971956
2023-12-12,0.0007230917973947615,4.9846649999999995e-05,8.306166666666666e-05,0.0005901834807280948
2023-12-13,0.002046815350241517,0.0,8.306166666666666e-05,0.0019637536835748503
2023-12-14,-0.002052082963412257,0.0,8.306166666666666e-05,-0.0021351446300789233
2023-12-15,0.001833292961802853,0.0,8.306166666666666e-05,0.0017502312951361862
2023-12-18,-0.0008498691196160758,4.992840000000001e-05,8.306166666666666e-05,-0.0009828591862827425
2023-12-19,0.0009631110312707617,4.9755550000000005e-05,8.276733333333334e-05,0.0008305881479374283
2023-12-20,-0.0021009639915267123,0.0,8.276733333333334e-05,-0.0021837313248600455
2023-12-21,-0.0006441896172281824,0.0,8.276733333333334e-05,-0.0007269569505615157
2023-12-22,5.858391575866884e-05,0.0,8.276733333333334e-05,-2.4183417574664498e-05
2023-12-25,0.0021278721336522454,4.9846649999999995e-05,8.276733333333334e-05,0.001995258150318912
2023-12-26,-0.0004938849777244045,4.984635000000001e-05,8.281233333333334e-05,-0.0006265436610577378
2023-12-27,0.0008833124381186084,0.0,8.281233333333334e-05,0.0008005001047852751
2023-12-28,-0.00019490845940104621,0.0,8.281233333333334e-05,-0.00027772079273437957
2023-12-29,-0.0009312411340590413,0.0,8.281233333333334e-05,-0.0010140534673923746
2024-01-05,-0.0011245243941322071,4.9755550000000005e-05,8.281233333333334e-05,-0.0012570922774655406
2024-01-09,0.0006632643637067779,4.9896149999999995e-05,8.315541666666666e-05,0.0005302127970401113
2024-01-10,0.003675883313773119,0.0,8.315541666666666e-05,0.0035927278971064525
2024-01-11,0.00022350022684002263,0.0,8.315541666666666e-05,0.00014034481017335596
2024-01-12,-0.0013970318056805763,0.0,8.315541666666666e-05,-0.0014801872223472428
2024-01-15,0.00029395967859054237,4.984635000000001e-05,8.315541666666666e-05,0.0001609579119238757
2024-01-16,0.00015095897704866656,4.993049999999999e-05,8.320516666666666e-05,1.782331038199991e-05
2024-01-17,-7.0254849583284e-05,0.0,8.320516666666666e-05,-0.00015346001624995067
2024-01-18,0.0044307314462696664,0.0,8.320516666666666e-05,0.004347526279603
2024-01-19,0.007002469718290303,0.0,8.320516666666666e-05,0.006919264551623636
2024-01-22,-0.0011281825509893003,4.9896149999999995e-05,8.320516666666666e-05,-0.001261283867655967
2024-01-23,-0.0018365917754502783,4.972715e-05,8.286100000000002e-05,-0.001969179925450278
2024-01-24,0.0008048463338013339,0.0,8.286100000000002e-05,0.0007219853338013339
2024-01-25,-0.0020565973730476243,0.0,8.286100000000002e-05,-0.0021394583730476244
2024-01-26,-0.0014865374029514064,0.0,8.286100000000002e-05,-0.0015693984029514065
2024-01-29,-0.0016708115954512334,4.993049999999999e-05,8.286100000000002e-05,-0.0018036030954512335
2024-01-30,0.0002587049521941857,4.99441e-05,8.287775000000001e-05,0.0001258831021941857
2024-01-31,-0.0035882973129980665,0.0,8.287775000000001e-05,-0.0036711750629980664
2024-02-01,-0.0041101740444665765,0.0,8.287775000000001e-05,-0.0041930517944665764
2024-02-02,0.0036573787151201217,0.0,8.287775000000001e-05,0.003574500965120122
2024-02-05,0.004226794906668877,4.972715e-05,8.287775000000001e-05,0.004094190006668877
2024-02-06,-0.003279827384187453,4.9830600000000004e-05,8.302991666666667e-05,-0.00341268790085412
2024-02-07,-0.0032427586109412933,0.0,8.302991666666667e-05,-0.00332578852760796
2024-02-08,0.0031513187181054204,0.0,8.302991666666667e-05,0.0030682888014387536
2024-02-09,0.002073338422307461,0.0,8.302991666666667e-05,0.001990308505640794
2024-02-13,0.00761079151822123,4.99441e-05,8.302991666666667e-05,0.007477817501554564
2024-02-14,-0.002302725121186913,4.9983e-05,8.310874999999999e-05,-0.0024358168711869133
2024-02-15,0.001973014800301354,0.0,8.310874999999999e-05,0.0018899060503013542
2024-02-16,0.0019604802366235026,0.0,8.310874999999999e-05,0.0018773714866235026
2024-02-19,0.004104033846881934,0.0,8.310874999999999e-05,0.004020925096881935
2024-02-20,0.0015881332344624736,4.9830600000000004e-05,8.310874999999999e-05,0.0014551938844624736
2024-02-21,-0.003620407169556812,4.993075e-05,8.331191666666666e-05,-0.003753649836223479
2024-02-22,0.0032005229065554,0.0,8.331191666666666e-05,0.0031172109898887335
2024-02-26,0.003088805087243985,0.0,8.331191666666666e-05,0.0030054931705773185
2024-02-27,0.001961964971376404,0.0,8.331191666666666e-05,0.0018786530547097373
2024-02-28,0.0018872227861068227,4.9983e-05,8.331191666666666e-05,0.0017539278694401561
2024-02-29,-0.005874641603360408,4.9631000000000006e-05,8.287891666666666e-05,-0.006007151520027075
