symbol,effective_from,effective_to
4307,2026-05-29,
4310,2026-05-29,
4318,2026-05-29,
4323,2026-05-29,
4324,2026-05-29,
4326,2026-05-29,
4331,2026-05-29,
4337,2026-05-29,
4343,2026-05-29,
4344,2026-05-29,
4345,2026-05-29,
4350,2026-05-29,
4362,2026-05-29,
4368,2026-05-29,
4369,2026-05-29,
4373,2026-05-29,
4382,2026-05-29,
4385,2026-05-29,
4390,2026-05-29,
4396,2026-05-29,
4401,2026-05-29,
4403,2026-05-29,
4410,2026-05-29,
4413,2026-05-29,
441A,2026-05-29,
4420,2026-05-29,
4432,2026-05-29,
4433,2026-05-29,
4434,2026-05-29,
4443,2026-05-29,
4449,2026-05-29,
4452,2026-05-29,
4461,2026-05-29,
4462,2026-05-29,
4471,2026-05-29,
4480,2026-05-29,
4481,2026-05-29,
4483,2026-05-29,
4502,2026-05-29,
4503,2026-05-29,
4506,2026-05-29,
4507,2026-05-29,
4516,2026-05-29,
4519,2026-05-29,
4521,2026-05-29,
4523,2026-05-29,
4526,2026-05-29,
4527,2026-05-29,
4528,2026-05-29,
4534,2026-05-29,
4536,2026-05-29,
4538,2026-05-29,
4540,2026-05-29,
4543,2026-05-29,
4544,2026-05-29,
4547,2026-05-29,
4548,2026-05-29,
4549,2026-05-29,
4552,2026-05-29,
4553,2026-05-29,
4554,2026-05-29,
4559,2026-05-29,
4565,2026-05-29,
4568,2026-05-29,
4569,2026-05-29,
4574,2026-05-29,
4577,2026-05-29,
4578,2026-05-29,
4587,2026-05-29,
4611,2026-05-29,
4612,2026-05-29,
4613,2026-05-29,
4617,2026-05-29,
4620,2026-05-29,
4626,2026-05-29,
4631,2026-05-29,
4633,2026-05-29,
4634,2026-05-29,
4641,2026-05-29,
4651,2026-05-29,
4658,2026-05-29,
4661,2026-05-29,
4662,2026-05-29,
4665,2026-05-29,
4666,2026-05-29,
4668,2026-05-29,
4671,2026-05-29,
4674,2026-05-29,
4676,2026-05-29,
4680,2026-05-29,
4681,2026-05-29,
4684,2026-05-29,
4686,2026-05-29,
4687,2026-05-29,
4689,2026-05-29,
4694,2026-05-29,
4704,2026-05-29,
4709,2026-05-29,
4714,2026-05-29,
4716,2026-05-29,
4718,2026-05-29,
4719,2026-05-29,
471A,2026-05-29,
4722,2026-05-29,
4725,2026-05-29,
4732,2026-05-29,
4733,2026-05-29,
4743,2026-05-29,
4746,2026-05-29,
4751,2026-05-29,
4755,2026-05-29,
4763,2026-05-29,
4765,2026-05-29,
4767,2026-05-29,
4768,2026-05-29,
4776,2026-05-29,
4784,2026-05-29,
4792,2026-05-29,
4801,2026-05-29,
4809,2026-05-29,
4812,2026-05-29,
4819,2026-05-29,
4820,2026-05-29,
4825,2026-05-29,
4826,2026-05-29,
4828,2026-05-29,
4839,2026-05-29,
4845,2026-05-29,
4848,2026-05-29,
4849,2026-05-29,
4880,2026-05-29,
4886,2026-05-29,
4887,2026-05-29,
4901,2026-05-29,
4902,2026-05-29,
4911,2026-05-29,
4912,2026-05-29,
4914,2026-05-29,
4919,2026-05-29,
4922,2026-05-29,
4923,2026-05-29,
4927,2026-05-29,
4928,2026-05-29,
4931,2026-05-29,
4933,2026-05-29,
4936,2026-05-29,
4951,2026-05-29,
4956,2026-05-29,
4958,2026-05-29,
4967,2026-05-29,
4968,2026-05-29,
4971,2026-05-29,
4973,2026-05-29,
4975,2026-05-29,
4979,2026-05-29,
4980,2026-05-29,
4985,2026-05-29,
4992,2026-05-29,
4994,2026-05-29,
4996,2026-05-29,
4997,2026-05-29,
5011,2026-05-29,
