date,gross,net,topix_ret,hedge_notional,contracts,long_exposure
2026-03-02,-0.0017002219608788175,-0.0019452264608788175,0.0040564869020545125,0.5824005,3.0,0.642622
2026-03-03,-0.007285531388381797,-0.007555043688381796,-0.024616212051083775,0.5801055,3.0,0.7674560000000001
2026-03-04,0.007570242013281894,0.007314050413281894,-0.02276565760881255,0.557748,3.0,0.72321
2026-03-05,-0.011941579575633564,-0.012203429375633564,0.0018724210241494177,0.5543625,3.0,0.7548864999999999
2026-03-06,0.006153976125812402,0.005902939025812403,0.01345021267313773,0.55014,3.0,0.7050455
2026-03-09,0.020098867567363492,0.019845893467363495,-0.02017821717066537,0.547422,3.0,0.7174484999999999
2026-03-10,-0.0010947296149752877,-0.0012952491149752878,0.01082749660002813,0.362503,2.0,0.6400945
2026-03-11,-0.0036292353262503984,-0.0038276439262503984,-0.001274446007500929,0.370357,2.0,0.6216859999999998
2026-03-12,-0.0030573579303886955,-0.0032909958303886954,-0.002974808372077753,0.549111,3.0,0.6190784999999999
2026-03-13,0.0024623154125556043,0.0022698902125556043,0.008786852800062306,0.359742,2.0,0.602384
2026-03-16,0.00040791844862188634,0.0001605609486218863,-0.0020618043828544153,0.5427285,3.0,0.694059
2026-03-17,-0.00011017165660975404,-0.0003750018566097541,-0.0055520217584418274,0.547098,3.0,0.777053
2026-03-18,-0.0014149796141969765,-0.0016629022141969763,0.017584727784362597,0.5479755,3.0,0.6916374999999999
2026-03-19,-0.00016510243688401711,-0.00041928853688401714,-0.013083601066374961,0.5485875,3.0,0.722343
2026-03-23,0.0044081370946884935,0.004158249094688493,-0.018263734407118593,0.532695,3.0,0.7167449999999999
2026-03-24,-0.0019065127391311692,-0.002112444639131169,0.004302537509663029,0.354442,2.0,0.6752175
2026-03-25,-0.003858126849269105,-0.004103511349269105,0.010520401441469263,0.541947,3.0,0.6849755000000001
2026-03-26,-0.001611927790064261,-0.001842637190064261,-0.00435124852407387,0.548808,3.0,0.6047390000000001
2026-03-27,0.001808968589032484,0.001565490589032484,0.006583338389660742,0.543873,3.0,0.6735169999999999
2026-03-30,0.005081954202985316,0.0048512700029853155,-0.002503357991456401,0.5326845,3.0,0.6207365
2026-03-31,0.0021878054450259476,0.0019477819450259477,-0.005246977655553597,0.5274465,3.0,0.672671
2026-04-01,-0.004998688723524504,-0.005196550223524504,0.03218677156586813,0.355643,2.0,0.6336645
2026-04-02,-0.0015995165364206965,-0.0018030789364206965,-0.023080876386259108,0.3697,2.0,0.6481119999999999
2026-04-03,0.0017526334082566043,0.0015013451082566043,0.0008429156645031188,0.546318,3.0,0.7101235000000001
2026-04-06,-0.0028992031639950974,-0.0031474702639950974,-0.001577840112201856,0.547584,3.0,0.6937515
2026-04-07,-0.0004060324004031042,-0.0006568614004031041,-0.001240925391410852,0.548784,3.0,0.705361
2026-04-08,-0.00738206207190357,-0.007626238771903569,0.01590060841556329,0.5574315,3.0,0.6634519999999999
2026-04-09,-0.005699683748087356,-0.005939119348087356,-0.00914459745762719,0.5664,3.0,0.6307780000000002
2026-04-10,-0.00465487027543971,-0.00490219267543971,-0.0028369626368820455,0.5625735,3.0,0.6740385
2026-04-13,-0.0006300367408807634,-0.0008783847408807634,0.0008548777766725912,0.5579745,3.0,0.6837655
2026-04-14,-0.0040767513037780175,-0.004320570603778017,2.3966893730742456e-05,0.563277,3.0,0.6558195
2026-04-15,0.001217875149084893,0.0009642547490848931,-0.003365000819442465,0.567459,3.0,0.7006429999999999
2026-04-16,-0.004129289599703051,-0.004354641099703051,0.00616445402245791,0.5686635,3.0,0.558094
2026-04-17,0.0017709296710879696,0.0015276441710879696,-0.009799817273691946,0.5697045,3.0,0.646723
2026-04-20,0.0016747000578473787,0.001486832357847379,-0.003019696657744819,0.378846,2.0,0.5604925
2026-04-21,-0.00079214857056228,-0.0009805151705622802,-0.002560805913133568,0.378006,2.0,0.563827
2026-04-22,-0.002021865334890207,-0.0022503998348902066,-0.002825114495686454,0.56334,3.0,0.5793324999999999
2026-04-23,6.005458047260654e-05,-0.00016874481952739348,-0.005581659192345101,0.560586,3.0,0.583411
2026-04-24,-0.00039125117188059224,-0.0006465733718805922,-0.003832865616514969,0.5596335,3.0,0.7169775
2026-04-27,-0.0036774673542458794,-0.00394072675424588,0.00657525977665685,0.556632,3.0,0.759665
2026-04-28,0.0073868471932993125,0.0070813553932993125,0.0050891398820704925,0.750618,4.0,0.7768410000000002
2026-04-30,0.0034807918340002,0.0031757982340002,-0.004018972543256005,0.74845,4.0,0.7765180000000002
2026-05-01,0.0034665296440570315,0.003164253744057032,0.0026863937785379655,0.743748,4.0,0.7676315
2026-05-08,0.0016286980305677567,0.0013834083305677568,0.00033697387015796387,0.5742285,3.0,0.65222
2026-05-11,0.0009222755430277835,0.0006825568430277835,0.00016404968361838357,0.576045,3.0,0.6225485
2026-05-12,0.0014023376769214712,0.0011548732769214713,0.004338501673940787,0.5784255,3.0,0.6588965
2026-05-13,-0.0002598084584817563,-0.0005098525584817563,0.012913779780902468,0.5804265,3.0,0.669794
2026-05-14,0.004083997329316042,0.0038474237293160424,-0.008847952170469409,0.587085,3.0,0.5957830000000001
2026-05-15,0.005715333478562526,0.005523289078562526,-0.007153483854556164,0.389181,2.0,0.571041
2026-05-18,-0.006994097553924051,-0.007189523053924052,-0.00863764135912004,0.385985,2.0,0.5911424999999999
